item_id,source_text,ref,domain,direction,sentence_type_fine,source_id,source_doc,cand_A,cand_B,cand_C,cand_D,cand_A__semantic_fidelity_0_4,cand_A__cultural_adequacy_0_4,cand_A__fluency_0_4,cand_A__error_tags,cand_A__notes,cand_B__semantic_fidelity_0_4,cand_B__cultural_adequacy_0_4,cand_B__fluency_0_4,cand_B__error_tags,cand_B__notes,cand_C__semantic_fidelity_0_4,cand_C__cultural_adequacy_0_4,cand_C__fluency_0_4,cand_C__error_tags,cand_C__notes,cand_D__semantic_fidelity_0_4,cand_D__cultural_adequacy_0_4,cand_D__fluency_0_4,cand_D__error_tags,cand_D__notes
47,for the purpose of ensuring his or her appearance before a court for trial or other proceedings; ----------------------- page -----------------------,ni kena vakadeitaki me na rairai ena mataveilewai;,legal,en->fj,legal_clause,constitution|8(6)(i),constitution - eng.txt,me vakadeitaka na nona rairai ki na mataveilewai me veilewai se veilewai tale eso; ----------------------- tabana -----------------------,ena na veika me vaka na nona se nona i tovo ni sa mai curu ki na koronivale me baleta na tambi se na veika e rawa ni yacova; ----------------------- togi -----------------------,"ena inaki ni kena vakadeitaki na nona rairai e mataveilewai me lewai se so tale na ka ni veilewai;
----------------------- tabana -----------------------",ena inaki me vakadeitaka na nona rairai ena mataveilewai me veilewaitaki se so tale na ka e caka; tabana e,,,,,,,,,,,,,,,,,,,,
48,"na ivakatagedegede ni vuli e gadrevi kei na ivakarau me vakamuri me baleta na veivakacakacakataki, ka dodonu me dola raraba, vakarawarawataki, valataki vakasavasava, ia na veidigitaki me yavutaki ena rawaka;","the qualification requirements for appointment and the process to be followed for appointment, which must be an open, transparent and competitive selection process based on merit;",legal,fj->en,right,constitution|109(12)(b),constitution - itaukei.txt,"the level of education required and the criteria to be followed for hiring, which should be open, simplistic, transparent, and competitive, but selection should be based on merit;","the required level of education and the procedure to be followed for appointments, which must be open, simplified, carried out fairly, but selection must be based on merit;","The educational framework requires a structure to support improvements, which should be broad, flexible, focused on sustainability, and decision-making rooted in benefits.","the educational standards required and the procedure to be followed for recruitment, which should be open, facilitated, cleanly fought, but candidates based on merit;",,,,,,,,,,,,,,,,,,,,
49,"behold, the money, which we found in our sacks' mouths, we brought again unto thee out of the land of canaan: how then should we steal out of thy lord's house silver or gold?","""raica keimami sa kauta lesu tale mai, mai na vanua o kenani nai lavo sa kune ena neimami taga, kila rawa vakacava me keimami butakoca na siliva se koula mai na vale ni neimami turaga?",bible,en->fj,statement,bible|genesis|044|008,bible_genesis_verse__en2fj.csv,"raica, nai lavo keimami a kunea e na gusu ni neimami taga, keimami a kauta lesu mai vei kemuni mai na vanua ko Kenani: keimami na butakoca vakaevei mai na vale ni nomuni turaga na siliva se na koula?","Raica mada, na ilavo ka keimami a kunea ena gusu ni neimami taga, keimami sa kauta lesu tale mai vei kemuni mai na vanua o Kenani: keimami na butako rawa vakacava gona na siliva se koula mai na vale ni nomuni turaga?","Raica, na ilavo, e so na keimami sa a vulica mai na kuta, e lesu mai ki na nomu, mai na vanua ko Kanaa: a na cava, e rawa ni keimami sa curu mai na vale ni nomu gosowaqa na siliva se na za?","Raica, na ilavo keimami a kunea ena gusudra na neimami taga, keimami a kauta lesu mai vei kemuni mai na vanua ko Kenani: me keimami butakoca vakaevei mai na vale ni nomuni turaga na siliva se na koula?",,,,,,,,,,,,,,,,,,,,
50,take over criminal proceedings that have been instituted by another person or authority (except proceedings instituted by the fiji independent commission against corruption); ----------------------- page -----------------------,qarava na veilewai ni basulawa sa tekivuna e dua se dua tale na matabose se tabacakacaka (vakavo na kisi eratou qarava na matabose tuvakaikoya me valuta na cakacaka butobuto);,legal,en->fj,legal_clause,constitution|109(8)(b),constitution - eng.txt,taura na veilewai ni cala e sa tauyavutaka e dua tale na tamata se vakailesilesi (vakavo ga na veilewai e tauyavutaka na komisi tu vakataki koya ni fiji me saqata na veivakalolomataki); draunipepa,Taura na lewa ni veivosaki vakalawa ni cala ka sa tekivutaki mai vua e dua tale na tamata se tabana ni lewa (vakavo ga na veivosaki ka tekivutaki mai na Fiji Independent Commission Against Corruption);,tawasea na veika vakavuni e vakavulewataki mai na dua na taciqu se matanitu (totolo na veika e vakavulewataki mai na komiti duidui ni Fiji me baleta na veivakacacani);,taura na veilewai ni basulawa ka sa tekivuna e dua tale na tamata se vakaitutu (vakavo ga na veilewai e tauyavutaka na Fiji Independent Commission against corruption); ----------------------- tabana -----------------------,,,,,,,,,,,,,,,,,,,,
51,o ira na lewena na matabose ni dodonu ni tamata kei na valuti ni veivakaduiduitaki;,the members of the human rights and anti-discrimination commission;,legal,fj->en,legal_clause,constitution|134(h),constitution - itaukei.txt,members of the human rights and anti-apartheid council;,the way people should treat each other and the importance of equality;,the members of the Human Rights Council and the fight against discrimination;,members of the Human Rights and Anti-Discrimination Council;,,,,,,,,,,,,,,,,,,,,
52,"e tiko tale ga na valelailai/valepo, paipo kei na valenisili e koronivuli.","we also have toilets, taps and bathrooms at school.",conversational,fj->en,statement,conversational|years_4_5|00031,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,"There are also toilets/outhouses, pipes, and a shower room at the school.","there are also toilets/showers, plumbing and showers at school.","There are also toilets/toilets, pipes and toilets in the school.",The same applies to the filter/pipe and the thin layer in the building.,,,,,,,,,,,,,,,,,,,,
53,"""o juta, o iko, era na vakacerecerea na tacimu; na ligamu ena kidomoka na domodra na meca; o ira na luvei tamamu era na cuva ka vakarokoroko vei iko.","judah, thou art he whom thy brethren shall praise: thy hand shall be in the neck of thine enemies; thy father's children shall bow down before thee.",bible,fj->en,statement,bible|genesis|049|008,bible_genesis_verse__fj2en.csv,"""Judas, you, will exalt your brothers; thine hand shall bind the throat of the enemy; Thy father's children shall bow down and worship thee.","Oh, you, you, your siblings will praise you; your hand will shatter the power of your enemies; the children of your father will bow down and worship you.","""oh my, oh you, they will disturb our peace; our ties will bind the strength of our enemies; those who are your own children will protect and defend you.""","""O Judah, thou shalt be exalted among thy brethren; thy hand shall be in the neck of thine enemies; thy father's children shall bow down and worship thee.",,,,,,,,,,,,,,,,,,,,
54,"the members of the commission shall be entitled to such remuneration as determined by the president acting on the advice of the judicial services commission following consultation by the judicial services commission with the attorney-general, and any such remuneration must not be varied to their disadvantage, except as part of an overall austerity reduction similarly applicable to all officers of the state.","na lewenimatabose me na saumi ena isau ni veiqaravi e vakatautaka na peresitedi ena ivakasala ni matabose veiqaravi ni mataveilewai ni salamuria na veitalanoa kei na vunilawa, ia na isau me kua ni veisautaki vakavo ke vakayacori e dua na veisau me vakalailaitaki kina na isau, na veisau me vakayacori vakatautauvata vei ira kece na vakailesilesi vakamatanitu.",legal,en->fj,obligation,constitution|109(11),constitution - eng.txt,"na nodalewa ni te komiti e rawa ni taura e dua na ilavo me vakarautaki mai na peretiteni e vakavulici tu na komiti ni veivakamacala ni kabani ni koi ira na komiti ni veivakamacala kei na peresideni ni kovanilaca ni komiti, qai na kadre na ilavo oqo aua me vakarautaki e dua na nodra veiqaravi, me tara se ivakarau ni nodra vakarautaki kea e dodonu me rawa ni vakadewa ena dua na leqa ni ituvatuva e justa ni a vakalailaitaki na i lako ni mata ni loma.","O ira na lewe ni komiti e dodonu mera ciqoma na isau ni cakacaka e vakatulewataka na Peresitedi, ena ivakasala ni Komiti ni Veiqaravi Vakadaunilawa, ni oti na veivosaki ni Komiti ni Veiqaravi Vakadaunilawa kei na Vunilawa Levu, ka sega ni rawa ni veisau na isau ni cakacaka oqori me vakaleqa na nodra itutu, vakavo ga ke tiki ni dua na vakalailaitaki raraba ni veika vakailavo e tautauvata na kena baleta na tamata ni cakacaka kece ni matanitu.","na lewe ni komisi ena dodonu me ra rawata na isau vakaoqo me vaka e vakatulewataka na peresitedi ka cakacaka ena ivakasala ni komisi ni veiqaravi vakalawa ni oti na veitalanoa mai na komisi ni veiqaravi vakalawa kei na loya-levu, kei na dua na isau vakaoqo e sega ni dodonu me veisautaki ki na nodra leqa, vakavo ga me tiki ni dua na vakailesilesi vakatautauvata na reductionly raraba.","E dodonu vei ira na lewe ni Komisina me ra ciqoma na isau oqori me vaka sa lewa na Peresitedi ena ivakasala ni Judicial Services Commission ni oti na nodratou veitalanoa na Judicial Services Commission kei na Attorney-General, ka me kakua ni veisautaki na isau oqori me vakaleqai kina, vakavo ga me tiki ni kena vakalailaitaki na isau raraba ka vakakina vei ira kece na vakailesilesi ni Yasana.",,,,,,,,,,,,,,,,,,,,
55,"""me vakaruataki nai lavo mo dou kauta me kau lesu nai lavo e kune ena nomudou taga, de a sega ni nakiti.","and take double money in your hand; and the money that was brought again in the mouth of your sacks, carry it again in your hand; peradventure it was an oversight:",bible,fj->en,statement,bible|genesis|043|012,bible_genesis_verse__fj2en.csv,"""You must take double the money, and take back the money that you have in your pockets, otherwise it is not intended.","The money you took must be repaid twofold, and the money found in your pocket must be returned, even if it was not intentional.","""I will confirm the money for you to take back the money that is in your account, but it will not be delayed.""","""Take double money in your hand, and bring back the money that was found in your sacks, lest you be deceived.",,,,,,,,,,,,,,,,,,,,
56,"oqo na kawa nei aisake, na luvei eparaama. o eparaama sa vakasucumi vua o aisake.","and these are the generations of isaac, abraham's son: abraham begat isaac:",bible,fj->en,statement,bible|genesis|025|019,bible_genesis_verse__fj2en.csv,"These are the generations of Isaac, Abraham's son. Abraham begat Isaac.","these are the generations of Isaac, the son of Abraham. abraham became the father of Isaac.","The son of Kawa is Aisake, and the daughter is Eparaama. Eparaama is being proposed to Aisake.","These were the descendants of Isaac, the son of Abraham. Abraham was the father of Isaac.",,,,,,,,,,,,,,,,,,,,
57,"nai tekitekivu ni nona matanitu sai pepeli, o ereki, o akadi kei kalanei, ena vanua o sina.","and the beginning of his kingdom was babel, and erech, and accad, and calneh, in the land of shinar.",bible,fj->en,statement,bible|genesis|010|010,bible_genesis_verse__fj2en.csv,"and the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.","The beginning of his kingdom was Babel, Erech, Accad, and Calneh, in the land of Shinar.","The beginning of his kingdom was Babel, Herek, Achach and Galnei, in the land of Sina.","The technical knowledge of its nation is vital, not only for today, but also for the future, in the land of tomorrow.",,,,,,,,,,,,,,,,,,,,
58,"If you are over 70 and have COVID-19 symptoms, seek medical care.","Kevaka o sivia na 70 na yabaki ka vakila na ivakatakilakila ni COVID-19, qarai vakatotolo na veivuke vakavuniwai.",medical,en->fj,symptom,medical|covid_general|9006cda98d76,ocr_txt_bundle::covid_general,"Kevaka o sa sivia na 70 na yabaki ka tiko vei iko na ivakatakilakila ni COVID-19, vakasaqara na veiqaravi vakavuniwai.","Ke o sa sivia na 70 ka tiko vei iko na ivakatakilakila ni COVID-19, vaqara veiqaravi vakavuniwai.","Kei te teitei atu koe i te 70 me he tohu COVID-19, rapua te awhina rongoā.","Ke ko yabaki sivia na 70 ka tu vei iko na ivakatakilakila ni COVID-19, laki vaqara veiqaravi vakavuniwai.",,,,,,,,,,,,,,,,,,,,
59,"Ni o tiko e vale, vakaraica vakavinaka nodrau veisau na nomu ivakatakilakila.",Monitor your symptoms closely while you are at home.,medical,fj->en,symptom,medical|medical_misc|e59413ae34de,ocr_txt_bundle::medical_misc,"You are staying at home, please check your identification documents carefully.","When you are home, carefully check for any changes to your credentials.","When you're at home, pay close attention to how your symptoms change.","When you are at home, watch carefully for changes in your symptoms.",,,,,,,,,,,,,,,,,,,,
60,Vakasavasavataka wasoma na vanua e dau tara vakalewelevu.,Disinfect surfaces regularly.,medical,fj->en,prevention,medical|medical_misc|d588f4b901ef,ocr_txt_bundle::medical_misc,Regularly sanitize high-touch areas.,Regularly clean the densely developed areas.,The beautiful sunset was over the land where there were tall trees.,They cleaned the places where they were built.,,,,,,,,,,,,,,,,,,,,
61,what are you doing on saturday?,na cava o cakava e na siga vakarauwai?,conversational,en->fj,question,conversational|years_9_10|00111,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,na cava o cakava tiko ena siga vakarauwai?,Na cava o cakava tiko ena Vakarauwai?,o cei e keirau ena sataduri?,Na cava o na cakava tiko e na Vakarauwai?,,,,,,,,,,,,,,,,,,,,
62,warm clothes are worn during cold weather.,e dau daramaki na isulu katakata e na gauna ni batabata.,conversational,en->fj,statement,conversational|years_4_5|00037,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,na i niu e la'ki ena gauna ni veisa.,isulu katakata e dau daramaki ena gauna ni batabata.,I sulu veve e daramaki e na draki batabata.,Na isulu katakata e dau daramaki ena draki batabata.,,,,,,,,,,,,,,,,,,,,
63,"ena nona vakatulewa cecere, na peresitedi ena vakatulewa ga ena ivakasala ni boseyaco se minisita se dua tale na tabana vakacakacaka se matabose e virikotori ena ivakatagedegede me digitaki kina na peresitedi .—() o ira era tawana na itutu ni peresitedi e dodonu me—","in the exercise of his or her powers and executive authority, the president acts only on the advice of cabinet or a minister or of some other body or authority prescribed by this constitution for a particular purpose as the body or authority on whose advice the president acts in that case. qualification for appointment .—() a person shall not be qualified to be nominated for the office of the president unless he or she—",legal,fj->en,right,constitution|82,constitution - itaukei.txt,"At his discretion, the President shall make decisions only on the advice of the Council or Minister or any other agency or council prescribed by the standards for the election of the President.—() The persons occupying the office of President shall—","in his or her supreme capacity, the president shall be appointed only on the advice of the council or minister or other executive branch or council prescribed in the criteria for the election of the president .—() those who hold the office of president shall—","In his supreme authority, the President shall only make decisions on the advice of the Cabinet, or a Minister, or another government department, or a council constituted according to the standard for the President's election. —() Those who hold the office of President must—","a good decision has been made, the president will make a decision based only on the advice of the council or minister or some other working group or committee that is mobilized as necessary to elect the president. —() those who occupy the position of president must—",,,,,,,,,,,,,,,,,,,,
64,We may have trouble sleeping and find it hard to get things done.,E rawa ni dredre na moce ka sega ni rawarawa meda qarava na veika eda dodonu me da cakava.,medical,fj->en,information,medical|medical_misc|8cc892d78125,ocr_txt_bundle::medical_misc,We have trouble sleeping and find it hard to get things done.,We may have trouble sleeping and find it hard to get things done.,We may have trouble sleeping and find it hard to get things done.,We may have trouble sleeping and find it hard to get things done.,,,,,,,,,,,,,,,,,,,,
65,na cava o cakava e na siga vakarauwai?,what are you doing on saturday?,conversational,fj->en,question,conversational|years_9_10|00111,Years 9 -10_Conversational Vosa VakaViti and Fiji Hindi.txt,What do you do on Saturday?,What are you doing on the weekend?,what are you doing on saturday?,What are you doing on Saturday?,,,,,,,,,,,,,,,,,,,,
66,na mataveilewai ni kudru ni veidigidigi e dodonu me na vakatulewataka na kudru se na veilewai kece e kau cake mai ena loma ni na siga mai na siga e ciqoma kina na kudru se na veilewai qo.,the court of disputed returns must make a determination on any petition or proceeding within days of the date when the petition or proceeding is brought before it.,legal,fj->en,right,constitution|65(8),constitution - itaukei.txt,The Electoral Complaints Tribunal must rule on all complaints or disputes within one day of receiving the said complaint or dispute.,the electoral appeals court shall decide all complaints or proceedings brought within one day from the date of receipt of such complaint or proceedings.,The Court of Election Complaints shall decide the complaint or any judgment brought within one day from the date of receipt of the complaint or such judgment.,The handling of disputes must be decided by the person or all parties involved from the beginning of the day when the dispute or negotiation arises.,,,,,,,,,,,,,,,,,,,,
67,a written law shall make provision for the exercise by a member of the public of the right to access official information and documents held by the government and its agencies. ----------------------- page ----------------------- auditor-general .—() the office of the auditor-general established under the state services decree continues in existence.,"na lawa tabaki e dodonu me vakamatatataka na nodra dodonu na lewenivanua mera kila, taura na itukutuku kei na ivola ni itukutuku e tiko ena veivalenivolavola vakamatanitu kei na kena veitabana. daunifika levu .—() na valenivolavola ni daunifika levu e tauyavutaki ena dikiri ni veiqaravi vakamatanitu , me na tomani tiko ga.",legal,en->fj,right,constitution|150,constitution - eng.txt,E dua na lawa volai me vakarautaka na nona vakayagataka e dua na lewenivanua na dodonu me raica na itukutuku vakadonui kei na ivola e taura tu na matanitu kei na kena veitabana. ----------------------- tabana ----------------------- Daudikevi Fika Raraba .—() Na valenivolavola ni Daudikevi Fika Raraba e tauyavutaki ena ruku ni State Services Decree e se bula tikoga.,e dua na lawa volai ena vakarautaka na kena vakayagataki e dua na lewenivanua na dodonu me rawata na itukutuku vakamatanitu kei na ivola e taukena na matanitu kei na kena veitabana. ----------------------- tabana -------------------- dauvakadidike levu .—() na valenivolavola ni dauvakadidike levu ka tauyavutaki ena ruku ni lawa ni veiqaravi ni matanitu e se tomani tikoga.,"E dua na lawa volai ena vakarautaka na kena iyaragi me baleta na kena vakayagataki mai vei ira na lewenivanua na dodonu me ra basika ki na itukutuku kei na ivola vakalesoni e tauri tu ena matanitu kei na kena veitabana.
----------------------- page -----------------------
Dau ni Vakatulewa Levu .—() Na valenivolavola ni Dau ni Vakatulewa Levu e tauyavutaki ena ruku ni Dekere ni Veiqaravi ni Matanitu sa tomana tikoga na kena ituvaki.",e dua na lawa e rawa ni vakarautaki tiko na kena bulia e dua na yaca ni tamata ni tawale me baleta na nodra veisiko ki na i tuvatuva kei na ivola e tu e na matanitu kei na nona i tovo ni veika. ----------------------- page ----------------------- na dauvakadidike. —() na bure ni dauvakadidike e vakatulewataki ena vuku ni ivolanikau ni matanitu e tu ga tiko.,,,,,,,,,,,,,,,,,,,,
68,do you have a flower garden at home/school?,e tiko nomudou loganisenikau mai vale/koronivuli?,conversational,en->fj,question,conversational|years_4_5|00040,Years 4 - 5_Conversational Vosa VakaViti and Fiji Hindi.txt,E tiko beka e dua na nomu were ni senikau e vale/koronivuli?,e tiko beka e dua na nomu iteitei ni senikau e vale/koronivuli?,E tiko vei iko e dua na loga ni sena e vale se e koronivuli?,o i ei mālūlū i totonu o le aiga/kolisi?,,,,,,,,,,,,,,,,,,,,
69,Dementia describes symptoms caused by changes in how the brain works.,Dementia e vakamacalataka na ivakatakilakila ena veisau e yaco ena ivakarau ni cakacaka ni mona.,medical,en->fj,symptom,medical|dementia_support|d53bfa7b80f9,ocr_txt_bundle::dementia_support,Na dementia e vakamacalataka na ivakatakilakila e vu mai na veisau ni ivakarau ni cakacaka ni mona.,Na mate ni vakasama e vakamacalataka na ivakatakilakila e vu mai na veisau ni sala e cakacaka kina na uto.,Na le fa'ailoa le fa'avae i le suiga o le fa'atinoga o le aofia o le aiga o le afi.,Na dementia e vakamacalataka na ivakatakilakila e yaco mai ena veisau ni cakacaka ni qavokavoka.,,,,,,,,,,,,,,,,,,,,
70,"We may feel sick in the stomach, get headaches or feel dizzy.","E rawa ni da lomaloma ca, mosi na ulu se vakila na matabuto.",medical,fj->en,information,medical|medical_misc|8b4f64062242,ocr_txt_bundle::medical_misc,"We may feel sick in the stomach, get headaches, or feel dizzy.","We may feel sick in the stomach, get headaches or feel dizzy.","We may feel sick in the stomach, get headaches or feel dizzy.","We may feel sick in the stomach, get headaches or feel dizzy.",,,,,,,,,,,,,,,,,,,,
71,kana yava ni toa,"[Literal Translation:to eat chicken feet] [Meaning:Your authority is effective in your territory (Vanua), but is irrelevant here in this territory. Each can be a chief in his own land. U 1. were ubiubi Literally translated as “to fake the work of cutting grass, weeds, by just knocking vegetation down to lie against the ground.” Meaning: To pretend to work. This idiom may imply that someone is not telling the whole story, that they are concealing some truth. 2. Sega ni ura me sa tei damu . Literally translated as “no prawn just turns red (unless someone has cooked it.” Meaning: Where there is smoke there is fire. The truth will come out. There must be a cause for something to happen, and the truth will be known. V and Y 1. vaka e vidi na ura Literally translated as “like a prawn springing into action.” Meaning: It conveys the notion of something that jumps suddenly into action, as the prawn does. 2. Sa viritaki na kena vatu . Literally translated as “a stone has already been thrown at it.” | It is already decisively rejected. Can also mean that the decision has been made to quit something, such as a game. A child may spit on a stone and throw the stone into the bushes to indicate that he is quitting a game. The notion is that if you found the stone he would be forced to stay 3. veivunauci vaka i Ra kasala . Literally translated as “to give advice as a kasala fish does” Meaning: You are good at giving advice but failing to follow that advice yourself. 4. Sa suasua na yavamu . Literally translated as “Your legs are still wet” This implies that you are new to this place, having just arrived ashore. You are a newcomer here and should not speak with assurance. 6. Yavita dole na mataisau Literally translated as “to club the carpenter prematurely.” | To judge a job prematurely before the work has been completed.]",idiom,fj->en,idiom_literal,idiom|idioms|000034|literal,Fijian Idioms - Copy.txt,way to the ocean,one who is always moving from place to place,eat chicken legs,Eat the chicken's leg.,,,,,,,,,,,,,,,,,,,,
72,Unhelpful anxiety makes us feel stuck and blinds us to our own strengths.,Na loma taqaya e sega ni veivuke e vakavuna meda taroga tu ka meda sega ni raica na noda kaukauwa vakataki keda.,medical,fj->en,information,medical|anxiety|16184789b4fe,ocr_txt_bundle::anxiety,Unhelpful anxiety makes us feel stuck and blinds us to our own strengths.,Unhelpful anxiety makes us feel stuck and blinds us to our own strengths.,Unhelpful anxiety makes us feel stuck and blinds us to our own strengths.,Unhelpful anxiety makes us feel stuck and blinds us to our own strengths.,,,,,,,,,,,,,,,,,,,,
73,"o jiova sa tu mai cake ka tukuna: ""oi au o jiova na kalou i eparaama, na kalou i aisake. na qele o davoca tiko oqori, au na solia vei iko kei ira na nomu kawa.","and, behold, the lord stood above it, and said, i am the lord god of abraham thy father, and the god of isaac: the land whereon thou liest, to thee will i give it, and to thy seed;",bible,fj->en,statement,bible|genesis|028|013,bible_genesis_verse__fj2en.csv,"And Jehovah stood up and said: ""I am Jehovah, the God of Abraham, the God of Isaac. The land you are lying on, I will give to you and your descendants.""","It was Jehovah who stood on high and declared: ""I am Jehovah the God of Abraham, the God of Isaac. the land on which thou liest I will give it unto thee and to thy seed.","And the LORD stood above it, and said, I am the LORD God of Abraham, and the God of Isaac: and the land whereon thou liest, to thee will I give it, and to thy seed.","""I am the Lord your God, who brought you out of Egypt, out of the land of slavery. You shall have no other gods before me.""",,,,,,,,,,,,,,,,,,,,
74,"and they took their cattle, and their goods, which they had gotten in the land of canaan, and came into egypt, jacob, and all his seed with him:","era sa kauta na nodra manumanu kei na nodra i yaya, era sa rawata ena vanua o kenani, ka lako sobu ki ijipita, o jekope kei ira kecega na nona kawa.",bible,en->fj,statement,bible|genesis|046|006,bible_genesis_verse__en2fj.csv,"era raua na ta'eta'ika, kei na nodra iyau, e dau rawata na nodra i yaya ena vanua i Kena'ani, ka lako mai Eperu, o Jakopo, kei na nona tamata taucoko.","ka ra kauta na nodra manumanu kei na nodra iyau, era a rawata mai na vanua o Kenani, ka ra lako ki Ijipita, o Jekope kei na nona kawa taucoko vata kei koya.","Era sa kauta na nodra bulumakau kei na nodra iyau, ka ra a taukena mai na vanua ko Kenani, ka lako ki Ijipita, ko Jekope, kei ira kece na nona kawa:","a ra sa kauta na nodra manumanu, kei na nodra i yau era sa rawata mai na vanua ko Kenani, a ra sa lako ki Ijipita, ko Jekope kei ira kecega na nona kawa.",,,,,,,,,,,,,,,,,,,,
75,"the tribunal or medical board shall enquire into the matter and furnish a written report, including its advice on whether the president should be removed from office, to the chief justice, who shall refer the report to the prime minister for tabling in parliament.","mataveivaqaqai se matabose ni bula me dikeva na leqa qo qai vakarautaka e dua na kena ripote vua na navosavakadua, oka ena ripote na vakatutu ni nona vakacegui na peresitedi. navosavakadua ena qai vagolea na ripote vua na paraiminisita me na qai vakaraitaka ena palimedi.",legal,en->fj,obligation,constitution|88(3)(c),constitution - eng.txt,"Na mataveilewai se matabose ni vuniwai me na vakataroga na tikina oqo ka solia e dua na ripote volai, oka kina na nona ivakasala me vagalalataki na peresitedi mai na nona itutu, vua na turaganilewa levu, ka na vagolea na ripote vua na paraiminisita me vakadaberi ena palimedi.","Na matabose ni veilewai se matabose ni vuniwai ena dikeva na leqa oya ka solia e dua na ripoti volai, okati kina na kena vakatutu se dodonu me kau tani mai na nona itutu na peresitedi, vua na iliuliu ni lewa, o koya ena qai vakauta na ripoti vua na paraiminisita me tabaki e Palimedi.","na te tribunal se na koro ni vakadidike ena matter ka vakarautaka e dua na ripoti e volai, e vakar included kina na nona veidinadinati me baleta na kena a vakarau me laiseni na peresitedi, ki na turaga ni mataka, o ya e na vakacacani na ripoti ki na turaga ni mataka me tabaki ena parament.","na mataveilewai se matabose ni veiqaravi vakavuniwai ena vakataroga na ka oqo ka vakarautaka e dua na ripote volai, oka kina na nona ivakasala me baleta na kena kau tani mai na nona itutu na peresitedi, vua na turaganilewa levu, ka na vakauta na ripote vua na paraiminisita me vakaraitaki ena palimedi.",,,,,,,,,,,,,,,,,,,,
76,"every person has the right to life, and a person must not be arbitrarily deprived of life. right to personal liberty .—() a person must not be deprived of personal liberty except—","na tamata yadua e tu vua na dodonu me bula, ka me kua ni kautani vakaveitalia na nona bula. dodonu ni galala ni tamata .—() e sega ni dodonu me vakuwai e dua mai na nona galala, vakavo—",legal,en->fj,right,constitution|8,constitution - eng.txt,"na tamata yadua e tiko na dodonu ni bula, ka me kakua ni vakuwai vakatawadodonu na nona bula e dua na tamata. dodonu ki na galala ni tamata yadua .—() me kakua ni vakuwai e dua na tamata mai na nona galala vakavo ga—","Na tamata kecega e tiko vua na dodonu ni bula, ka sega ni dodonu me kau tani vakailoa na nona bula. Dodonu ni galala ni tamata vakaikoya. — E sega ni dodonu me kau tani na galala ni tamata vakaikoya, vakavo ga kevaka—","na veika kece e tu vua na kena ilavo, a sa na sega ni rawati e dua na veika e avatarai na kena ilavo. na ilavo me rawa ni vakaraitaki. —() e sega ni rawa ni tawali e dua na veika mai na kena ilavo na veika me baleta.","na tamata yadua e tu vua na dodonu ni bula, ka sega ni dodonu me vakatabui vakatawadodonu vua e dua na tamata. dodonu ni galala vakatamata .—() e sega ni dodonu me vakatabui vua e dua na tamata na nona galala vakatamata vakavo ga—",,,,,,,,,,,,,,,,,,,,
77,The booklet covers brain health and risk reduction.,E vakamacalataki talega ena ivola na bulabula ni mona kei na kena vakalailaitaki na vakatarausui ni mate.,medical,en->fj,information,medical|medical_misc|bef554251daf,ocr_txt_bundle::medical_misc,Na ivola lailai e vakamacalataka na bula ni mona kei na vakalailaitaki ni leqa.,Na ivola lailai e kovuta na bula ni uto kei na kena vakalailaitaki na ririko.,Na ivolalailai oqo e kovuta na bulabula ni mona kei na vakalailaitaki ni ririkotaki.,Na laiseni e vakasakiti na bula ni yalo kei na veivakalewai ni rarabe.,,,,,,,,,,,,,,,,,,,,
78,an office established by written law; “public officer ” means the holder of a public office; “public service ” means the service of the state in a civil capacity but does not include—,valenivolavola e tauyavutaki ena lawa tabaki. “vakailesilesi ena valenivolavola ni lewenivanua” e vakaibalebale vua e dua e vakaitutu ena valenivolavola ni lewenivanua; “veiqaravi ni matanitu” e vakaibalebale ena veiqaravi ni matanitu vei ira na lewenivanua ka sega ni oka kina na—,legal,en->fj,definition,constitution|157(2)(h),constitution - eng.txt,e dua na valenivolavola e tauyavutaki ena lawa volai; “ovisa ni matanitu ” e kena ibalebale o koya e taukena e dua na itutu ni matanitu; “veiqaravi raraba ” e kena ibalebale na veiqaravi ni matanitu ena dua na itutu vakamatanitu ia e sega ni okati kina—,"na cakacaka e tauyavutaki ena lawa volai; ""dauveiqaravi ni matanitu"" e kenai balebale o koya e taura na cakacaka ni matanitu; ""veiqaravi ni matanitu"" e kenai balebale na veiqaravi ni matanitu ena ituvaki vakaitikotiko ia e sega ni okati kina—","e dua na valenivolavola e tauyavutaki ena lawa volai; ""vakailesilesi vakamatanitu "" kena ibalebale o koya e taura tu e dua na itutu vakamatanitu; "" veiqaravi raraba "" kena ibalebale na veiqaravi ni matanitu ena dua na itutu vakamatanitu ia e sega ni okati kina—",sa ofisi e vakarautaki tiko ena lawa e volai; “dau ni veika e vakavunia na veikauyaki ni matanitu” e vulica na nona itavi; “seviseni ni matanitu” e vacava na veika e cakava na matanitu ena ivakarau ni lewenivanua ia e sega ni kauta tiko—,,,,,,,,,,,,,,,,,,,,
